年,月,日,曜日,気温,降水量,日射量,降雪量,風速,最多風向,気圧,湿度,雲量,天気概況(昼),天気概況(夜)
2018,3,11,日,9.2,0.0,13.54,0,2.2,北,1016.3,64,7.0,曇一時雨後晴,快晴
2018,3,12,月,9.9,0,21.02,0,3.4,北西,1018.2,50,0.3,快晴,晴後一時曇
2018,3,13,火,11.6,0,19.25,0,2.6,南,1018.6,61,2.0,快晴,快晴
2018,3,14,水,14.3,0,19.99,0,2.0,南南東,1017.0,64,0.0,快晴,快晴
2018,3,15,木,15.9,0,15.27,0,4.1,南南西,1013.9,65,6.8,薄曇後一時晴,晴後曇
2018,3,16,金,13.2,4.0,2.90,0,4.5,南南西,1009.7,79,10.0,雨一時曇,雨時々曇後晴
2018,3,17,土,7.4,0,22.13,0,3.2,南東,1023.3,52,1.0,快晴,曇時々晴
2018,3,18,日,11.3,0,12.22,0,2.9,南,1021.4,60,9.5,曇一時晴,曇後一時晴
2018,3,19,月,13.0,0.5,7.60,0,2.1,北西,1013.3,70,9.5,曇,雨
2018,3,20,火,8.4,10.0,4.62,0,3.7,北東,1016.1,85,10.0,雨後時々曇,曇
2018,3,21,水,3.8,31.0,1.85,0,3.1,北北西,1015.4,88,10.0,雨後みぞれ,大雨
2018,3,22,木,9.5,20.0,7.71,0,2.8,西北西,995.3,88,8.8,曇時々雨後一時晴,曇
2018,3,23,金,11.9,2.5,14.81,0,2.6,北北西,1008.8,62,9.3,曇時々晴,曇時々雨
2018,3,24,土,11.3,0.0,19.24,0,2.7,南東,1015.7,76,9.0,薄曇時々晴,晴時々曇
2018,3,25,日,13.0,0,22.65,0,2.7,南,1017.1,62,2.3,快晴,快晴
2018,3,26,月,14.1,0,19.15,0,2.2,北西,1016.6,62,5.8,薄曇一時晴,晴
2018,3,27,火,15.7,0,18.64,0,2.0,北北西,1015.5,65,8.0,薄曇一時晴,晴一時曇
2018,3,28,水,17.2,0,21.05,0,2.5,南南東,1013.5,65,1.0,快晴,快晴
2018,3,29,木,18.1,0,21.58,0,2.4,北西,1011.3,60,1.5,快晴,晴一時曇
2018,3,30,金,13.8,0,23.10,0,4.0,南東,1018.1,36,2.0,晴,晴後一時曇
2018,3,31,土,13.4,0,22.74,0,3.2,南,1019.8,51,0.3,快晴,快晴
2018,4,1,日,16.0,0,20.96,0,3.7,南,1014.4,65,5.0,晴後薄曇,薄曇後晴
2018,4,2,月,17.9,0,19.87,0,2.6,南東,1013.9,70,3.0,晴後時々薄曇,曇
2018,4,3,火,17.9,0,19.73,0,2.3,南南東,1014.4,75,6.3,晴時々薄曇,快晴
2018,4,4,水,20.1,0,21.79,0,3.3,北北西,1009.1,68,0.5,晴後一時薄曇,曇時々晴
2018,4,5,木,13.3,0.0,8.43,0,3.3,南東,1016.5,71,10.0,曇,曇時々雨
2018,4,6,金,18.1,1.0,13.85,0,5.3,南,1004.2,82,10.0,曇一時雨,曇時々雨
2018,4,7,土,16.2,0.0,9.12,0,4.1,北北西,995.6,62,9.5,曇一時晴,曇一時雨後晴
2018,4,8,日,11.9,0.0,20.22,0,2.0,北,1008.5,43,2.5,晴,晴
2018,4,9,月,13.7,0,24.22,0,3.7,北西,1012.3,42,2.5,晴一時薄曇,快晴
2018,4,10,火,13.6,0,24.67,0,3.3,南東,1018.7,52,2.3,晴,晴後薄曇
2018,4,11,水,17.6,0.0,16.72,0,6.5,南,1009.5,65,9.5,曇時々晴一時雨,曇時々晴
2018,4,12,木,19.1,0,20.32,0,2.4,北北西,1006.4,58,9.8,薄曇一時晴,薄曇後晴
2018,4,13,金,15.5,0,25.23,0,3.9,北西,1017.2,34,0.5,晴,晴一時曇
2018,4,14,土,15.2,0.0,8.82,0,4.0,南,1015.5,67,9.5,曇後一時雨,雨時々曇
2018,4,15,日,17.9,19.0,6.33,0,4.8,南南西,997.1,75,10.0,曇一時雨,曇
2018,4,16,月,14.7,0,17.27,0,3.7,北北西,1012.7,48,10.0,曇時々晴,曇
2018,4,17,火,12.7,2.5,4.42,0,2.3,北北西,1021.3,81,10.0,曇一時雨,雨
2018,4,18,水,12.7,28.0,6.57,0,2.3,北,1013.4,94,7.8,雨一時晴,晴後時々曇
2018,4,19,木,16.2,0,22.94,0,3.3,南,1013.5,77,2.0,晴一時曇,晴
2018,4,20,金,18.7,0,25.15,0,3.0,北西,1014.8,61,2.5,快晴,快晴
2018,4,21,土,18.9,0,25.80,0,2.8,南,1016.8,65,0.0,快晴,快晴
2018,4,22,日,20.5,0,25.50,0,2.1,南南東,1014.4,67,1.5,晴一時薄曇,晴時々曇
2018,4,23,月,16.5,0.0,6.17,0,3.0,東,1017.7,80,9.3,曇,曇
2018,4,24,火,18.0,1.5,6.79,0,3.3,南,1010.9,84,10.0,曇後雨,雨一時曇
2018,4,25,水,19.0,57.0,8.52,0,3.5,南,998.6,95,10.0,大雨後薄曇一時晴,曇時々雨一時晴
2018,4,26,木,18.9,0.0,25.95,0,3.9,北北西,1006.9,55,7.8,晴後薄曇,薄曇
2018,4,27,金,18.5,0,13.57,0,2.9,南,1006.9,70,9.5,曇,晴
2018,4,28,土,20.1,0,27.31,0,4.4,南,1009.8,51,0.0,快晴,快晴
2018,4,29,日,20.1,0,26.17,0,4.4,南,1014.1,66,0.0,快晴,快晴
2018,4,30,月,20.8,0,22.81,0,4.5,南,1012.9,65,6.3,晴時々薄曇,晴一時曇
2018,5,1,火,22.3,0,25.73,0,2.9,南南東,1012.6,59,4.8,晴後薄曇,薄曇一時晴
2018,5,2,水,20.4,3.5,14.70,0,3.2,南,1009.7,79,10.0,曇後一時雨,雨一時曇
2018,5,3,木,21.9,14.0,12.59,0,6.2,南,996.7,77,10.0,曇一時雨,曇後一時晴
2018,5,4,金,18.0,0.0,27.13,0,3.8,北東,1004.5,55,3.5,晴,晴
2018,5,5,土,18.3,0,27.54,0,3.3,南,1011.4,53,1.8,快晴,薄曇時々晴
2018,5,6,日,21.0,0.0,24.88,0,4.5,南,1009.5,55,9.8,薄曇時々晴,曇時々雨
2018,5,7,月,17.9,21.0,7.91,0,4.3,南南西,1004.0,83,10.0,曇後雨,雨一時曇
2018,5,8,火,12.9,10.5,2.45,0,3.1,北北東,1010.6,92,10.0,曇後一時雨,大雨
2018,5,9,水,12.1,35.0,6.61,0,2.9,北,1013.0,90,10.0,雨後曇,曇一時雨
2018,5,10,木,12.1,9.0,9.88,0,1.8,北北西,1015.1,84,6.3,曇時々雨後晴、雷を伴う,晴後一時薄曇
2018,5,11,金,16.4,0,26.73,0,3.7,南,1015.4,64,7.3,晴時々薄曇,薄曇後晴
2018,5,12,土,18.8,0,22.85,0,2.8,南南東,1012.8,73,6.5,薄曇時々晴,薄曇
2018,5,13,日,17.9,49.0,6.62,0,3.4,南南西,1007.2,85,10.0,曇後雨,雨後曇
2018,5,14,月,21.1,0.0,27.55,0,2.9,北北東,1003.3,55,3.0,晴一時曇,快晴
2018,5,15,火,22.3,0,27.43,0,3.6,南,1009.2,57,2.0,快晴,晴
2018,5,16,水,23.5,0,26.06,0,4.3,南南西,1008.2,59,5.8,薄曇時々晴,薄曇
2018,5,17,木,24.0,0.0,19.55,0,3.7,南,1003.9,71,9.0,曇,晴時々曇
2018,5,18,金,23.4,0,24.21,0,3.0,南南東,1002.4,82,7.8,晴時々曇,曇後時々雨
2018,5,19,土,21.5,0.0,13.61,0,3.9,南,1000.4,70,7.5,曇時々晴,晴
2018,5,20,日,16.8,0,27.97,0,3.5,北東,1015.3,51,4.3,晴,薄曇
2018,5,21,月,20.3,0,26.79,0,2.4,南,1017.0,48,10.0,薄曇,薄曇後晴
2018,5,22,火,21.0,0,28.67,0,3.1,南南東,1015.6,55,0.3,快晴,晴後薄曇
2018,5,23,水,18.6,9.0,9.07,0,2.3,南東,1007.4,85,10.0,曇後雨,雨後時々曇
2018,5,24,木,20.7,6.0,21.03,0,2.8,南,1001.6,82,6.0,晴時々曇,晴一時曇
2018,5,25,金,22.8,0,21.71,0,3.7,南,1003.8,72,8.3,薄曇一時晴,薄曇一時晴
2018,5,26,土,21.4,0,16.12,0,2.7,東北東,1006.6,63,9.8,薄曇,曇時々晴
2018,5,27,日,21.3,0,26.61,0,2.9,東北東,1008.1,72,3.3,晴一時薄曇,曇
2018,5,28,月,21.6,0,10.12,0,2.5,南,1010.4,76,10.0,曇,曇一時晴
2018,5,29,火,23.0,0,18.24,0,3.2,南,1012.2,73,10.0,曇,曇
2018,5,30,水,21.1,8.5,9.72,0,2.6,南,1010.7,86,10.0,曇後雨,雨後曇
2018,5,31,木,19.5,0.0,8.09,0,2.4,南南西,1003.5,87,10.0,曇後時々雨,曇後一時晴
2018,6,1,金,21.7,0.0,25.58,0,3.4,北北西,1007.5,57,8.0,晴,晴時々曇一時雨
2018,6,2,土,21.9,0,25.67,0,2.4,南,1013.0,65,3.8,晴,快晴
2018,6,3,日,22.5,0,25.06,0,2.8,南南東,1013.9,68,4.3,晴,薄曇時々晴
2018,6,4,月,23.5,0,29.70,0,2.8,南南東,1012.8,64,3.0,晴,晴
2018,6,5,火,23.2,0.0,18.92,0,2.3,南,1011.8,69,7.5,曇一時晴,曇時々雨
2018,6,6,水,20.3,12.5,6.08,0,1.7,南西,1010.3,92,10.0,雨,雨後時々曇
2018,6,7,木,22.2,1.5,22.77,0,2.6,南,1010.3,81,7.8,曇後晴,晴時々薄曇
2018,6,8,金,23.7,1.0,21.33,0,4.0,南,1005.1,79,7.3,曇時々晴,曇時々雨、雷を伴う
2018,6,9,土,25.7,0.0,23.16,0,2.7,南東,1001.2,74,8.8,薄曇一時晴,曇後一時雨
2018,6,10,日,20.0,31.0,2.09,0,3.0,北東,1006.8,91,10.0,雨一時曇,大雨
2018,6,11,月,18.9,50.0,3.12,0,2.9,北北西,994.7,99,10.0,雨,曇一時雨
2018,6,12,火,20.5,0.0,11.93,0,2.2,北北東,993.0,91,10.0,曇,曇
2018,6,13,水,21.5,0,21.20,0,2.7,北東,1000.2,77,8.0,曇一時晴,晴時々曇
2018,6,14,木,20.6,0.0,15.02,0,3.4,東南東,1007.2,72,10.0,曇,曇
2018,6,15,金,17.6,9.5,2.81,0,3.2,北北東,1006.7,93,10.0,雨一時曇,雨一時曇
2018,6,16,土,15.9,3.0,6.84,0,2.8,北北東,1010.4,86,10.0,曇一時雨,曇
2018,6,17,日,18.7,0.0,13.97,0,2.3,南,1013.2,77,10.0,曇,曇
2018,6,18,月,19.4,2.0,4.16,0,1.9,北西,1009.5,93,10.0,曇時々雨,曇時々雨
2018,6,19,火,22.7,0.0,23.38,0,3.0,北北西,1006.4,77,9.8,曇時々晴,曇後雨
2018,6,20,水,20.8,24.5,3.72,0,2.7,南東,1001.5,98,10.0,雨,雨時々曇
2018,6,21,木,21.2,2.0,8.08,0,2.0,南南東,999.4,95,9.5,曇,晴一時曇
2018,6,22,金,23.1,0,22.93,0,2.7,南南東,1004.6,79,7.3,薄曇一時晴,薄曇時々晴
2018,6,23,土,20.6,16.0,4.81,0,1.7,北東,1003.8,95,10.0,曇後雨,曇時々雨
2018,6,24,日,21.3,2.5,13.81,0,2.1,南,1002.5,91,10.0,雨後薄曇一時晴,薄曇
2018,6,25,月,26.2,0,27.67,0,2.4,南南東,1008.3,71,2.8,快晴,晴後曇
2018,6,26,火,25.7,0,25.44,0,3.6,南東,1011.0,75,7.5,晴後薄曇,曇
2018,6,27,水,27.7,0.0,23.27,0,7.0,南南西,1003.1,71,9.0,曇後晴,曇一時晴
2018,6,28,木,27.4,0.0,17.49,0,6.0,南南西,1003.1,77,8.0,曇一時雨,晴
2018,6,29,金,28.2,0,28.39,0,6.9,南,1008.3,73,4.0,晴,晴
2018,6,30,土,28.6,0,28.51,0,5.8,南,1014.0,74,6.0,晴後薄曇,晴時々薄曇
2018,7,1,日,28.1,0,28.19,0,5.1,南,1015.4,75,1.5,晴,快晴
2018,7,2,月,28.8,0,29.11,0,3.7,南,1011.3,70,0.0,快晴,晴
2018,7,3,火,28.4,0,26.29,0,5.0,南,1006.0,69,7.8,薄曇,薄曇後一時雨
2018,7,4,水,27.6,0.0,15.68,0,6.6,南,1001.6,75,10.0,曇一時雨,曇時々雨
2018,7,5,木,26.7,2.0,6.96,0,6.9,南,1001.9,79,10.0,雨後一時曇,雨時々曇
2018,7,6,金,21.7,28.5,2.93,0,3.1,東北東,1007.7,99,10.0,雨後時々曇,雨時々曇
2018,7,7,土,25.0,0.0,16.16,0,3.8,南,1009.9,86,10.0,曇,薄曇
2018,7,8,日,27.4,0,21.06,0,3.9,南,1012.9,79,10.0,薄曇,晴時々薄曇
2018,7,9,月,27.3,3.5,18.22,0,3.2,南南東,1015.9,86,7.8,晴時々曇一時雨,晴時々曇
2018,7,10,火,28.5,0,27.49,0,3.7,南南東,1015.0,78,6.0,晴時々薄曇,曇時々晴
2018,7,11,水,29.0,0.0,18.38,0,2.1,南,1011.6,75,10.0,薄曇,曇時々雨
2018,7,12,木,26.6,3.5,14.83,0,2.6,北東,1010.2,83,10.0,曇一時雨後一時晴,曇
2018,7,13,金,29.1,0,22.77,0,2.7,南,1006.8,75,8.5,薄曇,晴時々薄曇
2018,7,14,土,30.1,0,22.12,0,2.8,南東,1007.6,70,7.0,晴時々薄曇,晴一時曇
2018,7,15,日,29.7,0,26.36,0,3.2,南南東,1009.0,78,3.0,晴,晴後薄曇
2018,7,16,月,29.9,0,24.03,0,3.0,南南東,1008.7,78,9.8,薄曇,薄曇
2018,7,17,火,29.9,0,24.60,0,3.4,南南東,1008.0,78,10.0,薄曇後一時晴,薄曇時々晴
2018,7,18,水,30.5,0,24.65,0,3.0,南南東,1007.2,75,5.3,晴,晴
2018,7,19,木,29.9,0,26.92,0,3.6,南南東,1007.6,78,7.3,晴後薄曇,晴一時曇
2018,7,20,金,29.9,0,26.63,0,4.4,南,1008.3,75,3.5,晴,快晴
2018,7,21,土,30.5,0,25.65,0,3.2,南,1007.7,72,6.5,晴後薄曇,薄曇後晴
2018,7,22,日,31.0,0,21.38,0,2.4,南南東,1005.5,73,8.3,薄曇時々晴,薄曇
2018,7,23,月,32.2,0,21.30,0,2.9,南東,1002.7,59,7.5,薄曇後一時晴,晴時々曇
2018,7,24,火,29.8,2.5,21.64,0,2.8,南南東,1003.7,76,6.3,晴一時曇,曇一時雨、雷を伴う
2018,7,25,水,28.1,0.0,12.89,0,3.0,南東,1006.3,81,10.0,曇,曇
2018,7,26,木,26.5,0.0,14.88,0,2.9,東北東,1007.1,68,9.8,曇時々晴,曇時々晴
2018,7,27,金,25.4,0.0,14.22,0,3.1,北東,1006.3,69,9.5,晴後曇,曇後雨
2018,7,28,土,24.0,52.0,5.51,0,4.2,北北西,1000.1,96,10.0,大雨一時曇,雨一時曇
2018,7,29,日,27.9,15.0,19.45,0,3.6,南東,1002.8,85,9.0,晴時々曇,晴後一時曇
2018,7,30,月,28.0,0.0,13.72,0,2.6,東南東,1006.1,82,8.8,曇一時晴,曇後晴
2018,7,31,火,28.4,0,19.07,0,2.6,南南東,1003.6,79,4.5,晴一時曇,快晴
2018,8,1,水,30.3,0,25.64,0,2.6,南南東,1000.6,73,1.8,晴,晴
2018,8,2,木,31.2,0.0,21.90,0,2.5,南南東,1002.0,70,6.5,晴後薄曇,薄曇後晴
2018,8,3,金,30.5,0.0,16.98,0,2.6,東南東,1003.3,74,6.0,晴,晴時々曇、雷を伴う
2018,8,4,土,29.8,0,24.34,0,2.8,南南東,1004.3,72,7.3,晴一時薄曇,晴後曇
2018,8,5,日,30.4,0,24.09,0,3.3,南南東,1001.6,77,4.5,晴,晴一時曇
2018,8,6,月,28.7,0.0,18.89,0,3.0,東北東,1001.5,80,10.0,曇時々晴,曇後雨
2018,8,7,火,22.2,4.5,3.55,0,3.3,北北西,1005.2,93,10.0,雨一時曇,曇時々雨
2018,8,8,水,23.6,41.0,5.41,0,3.9,北北西,997.6,95,10.0,雨,雨
2018,8,9,木,27.4,4.0,8.98,0,5.0,南,994.2,85,8.3,曇一時晴,晴
2018,8,10,金,29.8,0,23.20,0,3.8,南,998.8,76,5.8,晴一時薄曇,曇時々晴
2018,8,11,土,28.7,0.5,17.27,0,2.3,南南東,1001.8,85,9.5,曇時々晴一時雨、雷を伴う,曇後一時雨、雷を伴う
2018,8,12,日,27.7,0.0,9.54,0,2.2,南南東,1007.2,85,10.0,曇,曇一時雨
2018,8,13,月,27.5,10.5,14.34,0,2.0,西北西,1008.8,91,10.0,晴一時雨、雷を伴う,晴時々曇
2018,8,14,火,28.8,0,23.67,0,3.8,南,1010.2,79,6.0,薄曇時々晴,晴時々薄曇
2018,8,15,水,29.7,0,23.71,0,5.8,南,1010.1,72,9.5,薄曇,薄曇後晴
2018,8,16,木,29.1,0.0,18.08,0,5.9,南南西,1003.4,72,9.0,薄曇,曇一時雨
2018,8,17,金,26.3,0.0,25.81,0,5.5,北西,1004.9,44,4.0,晴,晴後一時薄曇
2018,8,18,土,22.7,0,24.95,0,2.9,南南東,1010.4,57,7.8,薄曇一時晴,薄曇後晴
2018,8,19,日,23.6,0,21.69,0,2.5,南南東,1012.0,66,7.8,薄曇一時晴,薄曇
2018,8,20,月,24.7,0.0,11.02,0,1.7,北北西,1010.8,74,10.0,曇一時雨,曇
2018,8,21,火,28.2,0.0,21.55,0,3.5,南,1009.5,80,6.0,曇後晴,晴一時曇
2018,8,22,水,29.7,0.0,24.87,0,4.9,南,1010.9,75,2.8,晴,晴
2018,8,23,木,29.4,0.0,18.11,0,4.8,南南東,1011.4,78,8.5,晴後曇,曇後一時雨
2018,8,24,金,28.2,7.5,11.57,0,7.4,南,1007.1,84,10.0,雨後曇,薄曇
2018,8,25,土,31.1,0,24.52,0,4.3,南南西,1006.7,70,5.5,晴,晴
2018,8,26,日,31.0,0,23.77,0,2.1,南,1007.5,72,3.5,晴,晴
2018,8,27,月,29.4,16.0,22.60,0,2.9,南南東,1008.9,74,4.5,晴後一時曇,曇時々雨、雷を伴う
2018,8,28,火,26.6,1.0,12.91,0,2.3,北北東,1009.4,84,10.0,曇,曇
2018,8,29,水,26.1,0.5,5.97,0,2.4,南東,1010.1,86,10.0,曇,曇一時雨
2018,8,30,木,28.8,0.0,19.10,0,2.9,南,1008.2,77,9.3,晴後薄曇,薄曇時々晴
2018,8,31,金,28.7,1.0,21.18,0,2.5,南,1005.3,77,9.3,薄曇時々晴一時雨、雷を伴う,曇時々晴一時雨
2018,9,1,土,25.9,6.0,9.61,0,2.5,東北東,1006.0,86,8.5,曇一時雨,曇時々雨
2018,9,2,日,22.1,7.5,4.26,0,2.0,北,1010.9,95,10.0,雨後曇,曇一時雨
2018,9,3,月,23.6,4.0,6.02,0,1.8,北北東,1008.8,95,10.0,雨後曇一時晴,曇時々晴一時雨
2018,9,4,火,26.5,14.5,4.89,0,5.9,南,1001.4,90,10.0,曇時々雨,曇一時雨、雷を伴う
2018,9,5,水,27.6,8.5,20.45,0,6.6,南南西,999.1,75,6.5,晴一時曇,曇時々晴
2018,9,6,木,27.6,0,16.31,0,3.7,南南西,1004.6,67,8.8,曇一時晴,曇後時々雨
2018,9,7,金,27.5,0.0,9.72,0,5.4,南南西,1006.3,75,9.3,曇一時雨,晴時々薄曇
2018,9,8,土,28.8,0.0,21.32,0,5.3,南,1008.6,74,8.3,晴一時薄曇,曇時々晴
2018,9,9,日,28.3,0,18.90,0,4.9,南,1011.6,76,8.3,晴一時曇,曇一時晴
2018,9,10,月,25.5,38.5,13.69,0,3.6,南,1010.7,89,10.0,曇時々雨,大雨後一時曇
2018,9,11,火,21.4,4.0,7.59,0,3.7,北東,1017.3,81,10.0,曇,曇一時晴
2018,9,12,水,21.0,0.0,12.30,0,2.9,北東,1020.4,70,9.5,曇,曇一時雨後時々晴
2018,9,13,木,22.4,0.0,14.51,0,2.1,北北西,1017.8,78,10.0,曇一時晴,雨一時曇
2018,9,14,金,21.9,7.5,7.29,0,2.0,南,1016.3,93,10.0,曇一時雨,雨時々曇
2018,9,15,土,20.5,14.5,4.15,0,1.5,東北東,1012.9,100,10.0,雨一時曇,曇
2018,9,16,日,23.1,0.0,14.44,0,1.8,南南東,1010.2,89,8.8,曇後晴,晴後一時曇
2018,9,17,月,24.7,26.0,15.91,0,2.3,南南東,1008.6,86,9.5,曇一時晴後一時雨,雨後曇、雷を伴う
2018,9,18,火,23.3,40.5,18.31,0,2.7,南東,1011.2,88,7.8,晴時々曇,大雨後曇
